pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000IgbtQAC,00109000009gnWVAAY,0069N000002RICGQA4,2023-01-02,2023-01-02,Mixed,8762.6000,1655.2400,155.2400
a0b9N000000IpyNQAS,0010900000ivGnXAAU,"",2023-01-09,2023-01-09,Mixed,54872.7500,5920.7100,4289.2600
a0b9N000000Isk8QAC,0019N000003MnlTQAS,0069N000002NWOpQAO,2023-01-10,2023-01-04,Mixed,18422.4000,1696.8000,446.8000
a0b9N000000IxeGQAS,0019N000003JyMeQAK,0069N000002VXUiQAO,2023-01-12,2023-01-12,Mixed,39157.9000,2030.0800,1160.0800
a0b9N000000J6YgQAK,0010900000IKtPVAA1,0069N000002RG23QAG,2023-01-17,2023-01-17,Mixed,11079.0000,1550.0000,1300.0000
a0b9N000000JJAXQA4,00109000009gnyVAAQ,0069N000002Pm5jQAC,2023-01-24,2023-01-24,Acquisition,24886.4000,8130.5000,8130.5000
a0b9N000000JLguQAG,0019N000003EQLpQAO,0069N000002XjktQAC,2023-01-25,2023-01-25,Mixed,62300.6400,5240.6400,3140.6400
a0b9N000000JTdrQAG,00109000017Se3TAAS,0060900000IHx19AAD,2023-01-30,2023-01-30,Mixed,7905.6000,524.8400,-175.1600
a0b9N000000JWJBQA4,0010900001QQUtcAAH,0069N000002YqQIQA0,2023-01-31,2023-01-31,Mixed,2745.0000,183.0000,183.0000
a0b9N000000JZH8QAO,00109000009gkK1AAI,0069N000002RFoYQAW,2023-01-30,2023-01-13,Mixed,48573.0300,2674.8300,1194.8300
a0b9N000000JhnGQAS,0010900001TGvjuAAD,"",2023-02-03,2023-02-01,Liquidation,46191.6000,9042.8000,2842.8000
a0b9N000000JynxQAC,0010900000BUssTAAT,0069N000002ahOHQAY,2023-02-09,2023-02-09,Mixed,8382.0000,762.0000,623.2500
a0b9N000000KJU4QAO,00109000009gqrFAAQ,"",2023-02-13,2023-01-13,Acquisition,12400.0000,5883.3000,5883.3000
a0b9N000000KWUSQA4,0019N000003o0UYQAY,0069N000002VYi3QAG,2023-02-16,2023-02-16,Liquidation,82135.0600,17990.2600,17990.2600
a0b9N000000Kv5uQAC,0010900000IKoxwAAD,0069N000002cFwxQAE,2023-02-22,2023-02-22,Mixed,4712.0200,256.0000,256.0000
a0b9N000000LJ98QAG,00109000009gnWVAAY,0069N000002bX3hQAE,2023-02-23,2023-01-02,Mixed,9649.9000,1634.9000,134.9000
a0b9N000000LjTsQAK,00109000009gkOwAAI,0069N000002dS5rQAE,2023-03-01,2023-03-01,Mixed,79430.0000,1128.0000,1128.0000
a0b9N000000MlZ6QAK,0010900000BUyvDAAT,0069N000002fxxbQAA,2023-03-22,2023-03-22,Mixed,194266.5600,1805.5200,705.5200
a0b9N000000N66hQAC,0010900000ivGnXAAU,"",2023-03-30,2023-01-09,Mixed,140505.8800,4203.7000,4203.7000
a0b9N000000NQpqQAG,0019N000004NckMQAS,0069N000002jJvhQAE,2023-04-06,2023-04-06,Mixed,3094.2000,802.2000,408.5000
a0b9N000000NaywQAC,00109000019J4cEAAS,0069N000002SQWYQA4,2023-04-13,2023-01-09,Liquidation,191066.1100,3595.0800,1948.4400
a0b9N000000NiQIQA0,00109000009gkQdAAI,0069N000002kNw8QAE,2023-04-17,2023-02-15,Mixed,34656.0000,2394.0000,1294.0000
a0b9N000000Nn8HQAS,0019N000004N8HTQA0,0069N000002kvwcQAA,2023-04-18,2023-04-18,Mixed,55632.0000,13908.0000,8538.0000
a0b9N000000NuXeQAK,00109000009gpRvAAI,0069N000002lAsyQAE,2023-04-20,2023-04-20,Mixed,3622.0800,157.7800,-207.5200
a0b9N000000NvcGQAS,00109000009gsyPAAQ,0069N000002lGHuQAM,2023-04-21,2023-02-23,Mixed,6198.5000,161.0000,161.0000
