pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b09000000HSALAA4,00109000009h8FLAAY,2021-03-08,2021-03-08,Mixed,1193.0600,102.8500,102.8500
a0b09000000HSIhAAO,00109000009gnwaAAA,2020-04-10,2020-04-10,Mixed,2447.2000,646.8000,646.8000
a0b09000000HSVOAA4,0010900000BUAGbAAP,2021-03-11,2021-03-11,Mixed,7359.2000,499.7000,281.7000
a0b09000000HWbRAAW,00109000009gpGPAAY,2020-05-07,2020-03-05,Mixed,19183.0800,1629.3300,889.7000
a0b09000000HWhFAAW,00109000009gpGtAAI,2020-07-09,2020-07-09,Mixed,2739.8000,138.0400,138.0400
a0b09000000HX6zAAG,00109000009gpGjAAI,2020-10-06,2020-10-06,Mixed,44736.5500,4989.9100,6289.9100
a0b09000000HX9tAAG,00109000009gpGPAAY,2020-09-24,2020-03-05,Mixed,18833.0200,2186.6200,1376.6200
a0b09000000HXEJAA4,00109000009gpGPAAY,2020-09-10,2020-03-05,Mixed,18345.6500,2138.4500,1218.4500
a0b09000000HXO9AAO,00109000009gpGPAAY,2020-11-28,2020-03-05,Mixed,19702.2000,2338.1000,1568.1000
a0b09000000HeInAAK,00109000009gpGPAAY,2020-03-05,2020-03-05,Mixed,22976.1000,2813.4000,2001.7700
a0b09000000HeJgAAK,00109000009gpGPAAY,2020-04-01,2020-03-05,Mixed,20193.4500,1645.0500,929.5800
a0b09000000HeTrAAK,0010900000BURWNAA5,2021-03-19,2021-03-19,Mixed,3134.0000,137.0000,137.0000
a0b09000000HebXAAS,0010900000BUr17AAD,2021-03-22,2021-03-22,Mixed,8532.7400,1340.7400,850.7400
a0b09000000HeiUAAS,0010900000BUAGbAAP,2021-03-23,2021-03-11,Mixed,3595.5000,255.0000,255.0000
a0b09000000HesvAAC,0010900000BV00PAAT,2021-03-25,2021-03-25,Mixed,4184.0500,96.5500,96.5500
a0b09000000HfOdAAK,00109000009gqDYAAY,2021-03-30,2021-03-30,Mixed,5188.9400,1867.4400,917.4400
a0b09000000HfOnAAK,0010900000BUsXkAAL,2021-03-30,2021-03-30,Mixed,19118.4500,6277.7000,5157.7000
a0b09000000HfQZAA0,0010900000BV045AAD,2021-03-31,2021-03-31,Mixed,3510.3600,206.9600,4.4600
a0b09000000HfkZAAS,00109000009goOcAAI,2021-04-06,2021-04-06,Mixed,5950.8000,1032.0000,1153.0000
a0b09000000Hg3gAAC,0010900000BVuXAAA1,2021-04-07,2021-04-07,Mixed,424.3200,16.3200,16.3200
a0b09000000HghsAAC,0010900000BUlpNAAT,2021-04-12,2021-04-12,Mixed,4860.8000,607.6000,607.6000
a0b09000000HgmAAAS,0010900000EdER3AAN,2021-04-12,2021-04-12,Mixed,3801.9200,858.9200,378.9200
a0b09000000HhMZAA0,00109000009gpHrAAI,2021-04-15,2021-04-15,Mixed,3767.4000,343.4000,343.4000
a0b09000000HhRQAA0,0010900000Egu0qAAB,2021-04-15,2021-04-15,Mixed,5568.2300,169.7800,84.7800
a0b09000000HhUrAAK,00109000009gpfAAAQ,2021-04-16,2021-04-16,Mixed,4071.0000,621.0000,496.0000
a0b09000000HhivAAC,0010900000BV03HAAT,2021-04-19,2021-04-19,Mixed,3796.8000,484.8000,-305.2000
a0b09000000Hhj0AAC,0010900000EdEUqAAN,2021-04-19,2021-04-19,Mixed,5547.6000,723.6000,-66.4000
a0b09000000HiZPAA0,0010900000FPSCNAA5,2021-04-23,2021-04-23,Mixed,7299.0800,100.4000,100.4000
a0b09000000Hj6JAAS,0010900000FQIJoAAP,2021-04-30,2021-04-30,Mixed,9689.3000,215.0000,215.0000
a0b09000000HjLAAA0,0010900000IJqxkAAD,2021-05-04,2021-05-04,Mixed,671.5800,26.7800,-56.2200
a0b09000000HjMIAA0,0010900000FPQHXAA5,2021-05-05,2021-05-05,Mixed,2516.0000,998.0000,865.5000
a0b09000000HjQ0AAK,0010900000IK7kvAAD,2021-05-06,2021-05-06,Mixed,12983.9800,2423.9800,2033.9800
a0b09000000HjQ5AAK,00109000009gppKAAQ,2021-05-19,2021-05-19,Mixed,5599.5000,1027.9500,933.6400
a0b09000000HjagAAC,0010900000IJr3sAAD,2021-05-07,2021-05-07,Mixed,1251.5500,133.5100,133.5100
a0b09000000HkIsAAK,0010900000IKLeeAAH,2021-05-11,2021-05-11,Mixed,2248.2000,34.6100,34.6100
a0b09000000HkadAAC,0010900000IJqA3AAL,2021-05-12,2021-05-12,Mixed,16585.6000,934.4000,684.4000
a0b09000000HlTcAAK,00109000009gkJwAAI,2021-05-18,2021-05-18,Mixed,6956.0000,188.0000,188.0000
a0b09000000HlU6AAK,0010900000IKs5rAAD,2021-05-18,2021-05-18,Mixed,3802.5000,422.5000,422.5000
a0b09000000HmTwAAK,0010900000BUeJvAAL,2021-05-21,2021-05-21,Mixed,9733.5200,1580.5200,430.5200
a0b09000000HmU1AAK,00109000009gnnOAAQ,2021-05-21,2021-05-21,Mixed,6256.5600,188.5000,188.5000
a0b09000000HmenAAC,0010900000FPSCNAA5,2021-05-25,2021-04-23,Mixed,7337.0000,101.2000,101.2000
a0b09000000HmhrAAC,00109000009go48AAA,2021-05-26,2021-05-26,Mixed,9715.2000,396.0000,10.5000
a0b09000000Hmj4AAC,00109000009gpuEAAQ,2021-05-26,2021-05-26,Mixed,10101.2600,695.6400,255.6400
a0b09000000HthYAAS,0010900000RG5OVAA1,2021-06-11,2021-06-11,Mixed,3463.5600,257.5100,149.9100
a0b09000000HthsAAC,00109000009goADAAY,2021-06-11,2021-06-11,Mixed,17031.2000,2802.1400,1682.1400
a0b09000000Hty1AAC,00109000009goADAAY,2021-06-11,2021-06-11,Mixed,2769.6800,124.4800,176.9800
a0b09000000Hv8sAAC,0010900000RFS5yAAH,2021-06-15,2021-06-15,Mixed,240.8000,157.6000,-157.4000
a0b09000000HvmrAAC,0010900000RFP45AAH,2021-06-15,2021-06-15,Mixed,16522.8000,562.8000,352.8000
a0b09000000HvrnAAC,0010900000RFGhaAAH,2021-06-16,2021-06-16,Mixed,5553.8000,906.5300,-433.4700
a0b09000000Hza5AAC,0010900000IKtPVAA1,2021-06-22,2021-06-22,Mixed,22003.9300,1848.4200,728.4200
a0b09000000HzaZAAS,0010900000RGLJ6AAP,2021-06-23,2021-06-23,Mixed,6563.7000,1009.8000,59.8000
a0b09000000I0gcAAC,0010900000Ux6k6AAB,2021-06-25,2021-06-25,Mixed,39992.6000,21054.6000,21054.6000
a0b09000000I1vUAAS,0010900000Ux6mlAAB,2021-06-29,2021-06-29,Mixed,0.0000,-18938.0000,-18938.0000
a0b09000000I1xLAAS,0010900000UwFMCAA3,2021-06-30,2021-06-30,Mixed,1147.5000,127.5000,127.5000
a0b09000000I1zmAAC,0010900000RGH4NAAX,2021-07-01,2021-07-01,Mixed,8420.6000,474.4000,474.4000
a0b09000000I3SzAAK,00109000009gobPAAQ,2021-07-06,2021-07-06,Mixed,16890.6300,1514.6300,1344.3300
