Brand,Display,General,adjusted_gmv_total,adjusted_gmv_inbound
0.0,0.0,63.540000000000006,161402.07,0.0
10.559999999999999,0.0,523.3,1433721.47,0.0
35.62,0.0,470.92,1040754.8,237106.8
17.43,0.0,691.94,1645644.2,69976.94
17.31,0.0,647.83,1581553.8399999999,69227.51999999999
31.21,0.0,704.47,1340547.32,27373.35
35.03,0.0,946.3199999999999,652514.24,7740.0
23.27,0.0,896.505,647705.8,1041.66
17.27,0.0,685.4055,559528.26,23047.24
30.53,0.0,729.0407,1498079.1500000001,67283.65
15.73,0.0,967.698,1432464.09,12438.9
14.08,0.0,1008.2218,330962.72,43738.22
21.48,0.0,801.55,1599175.57,7162.2
18.27,0.0,1149.9,1264878.25,75595.6
10.18,0.0,721.1,1282427.4,27642.800000000003
26.71,0.0,538.16,711155.72,0.0
25.98,0.0,724.72,2298406.18,63956.45
15.5,0.0,715.1800000000001,1041247.2,16881.28
46.74,0.0,730.42,629558.68,9811.75
50.519999999999996,0.0,680.47,1044268.83,9542.8
448.94,0.0,745.1800000000001,2415612.3,0.0
219.64000000000001,0.0,625.95,1377070.895,10511.12
94.94,0.0,693.13,1589509.85,0.0
156.72,0.0,587.53,737024.99,0.0
25.33,0.0,640.89,1399764.78,10723.0
4.5,0.0,537.09,3219805.995,3618.0
2.5300000000000002,0.0,519.05,1381955.6600000001,0.0
3.4699999999999998,0.0,569.57,1584389.58,0.0
5.74,0.0,594.05,3323861.35,36726.8
2.04,0.0,544.8,1066010.4000000001,26419.02
6.47,0.0,524.08,357426.36,0.0
5.88,0.0,549.36,893324.5,0.0
9.98,0.0,561.3,888822.46,0.0
13.0,0.0,560.46,797811.0,0.0
8.01,0.0,565.19,515807.24,0.0
11.51,0.0,402.02,1891131.38,32027.0
22.5,0.0,715.14,1702567.02,0.0
26.1,0.0,530.0600000000001,669611.73,0.0
67.38,0.0,622.04,2537504.16,26355.78
45.19,0.0,578.01,884393.91,68076.3
26.330000000000002,0.0,549.15,2295406.32,42945.899999999994
16.400000000000002,0.0,559.67,1046832.15,80802.90000000001
14.469999999999999,0.0,660.96,628938.4,0.0
15.36,0.0,578.89,423118.88,0.0
12.26,0.0,587.98,897018.76,0.0
26.7,0.0,641.26,1151045.67,0.0
11.209999999999999,0.0,614.66,955276.97,22888.2
13.47,0.0,574.12,1267566.75,0.0
18.15,0.0,589.36,962642.8999999999,0.0
14.420000000000002,0.0,534.15,1635573.78,0.0
20.4,0.0,608.44,2595239.4899999998,0.0
16.77,0.0,556.06,1123099.3,0.0
8.02,0.0,347.16,1446945.39,0.0
15.24,0.0,307.76,454932.16,0.0
16.58,0.0,303.2,256874.43,7840.0
14.059999999999999,0.0,520.55,537923.19,0.0
24.88,0.0,539.93,1661960.85,33947.92
21.58,0.0,492.13,1015250.8300000001,0.0
23.35,0.0,453.18,424220.33,0.0
38.35,0.0,785.35,421434.79000000004,0.0
18.35,243.9506,1086.2,1219265.98,0.0
36.99,243.0507,1282.76,394114.32,0.0
34.29,146.10430000000002,1308.6200000000001,382000.83,0.0
26.330000000000002,82.2874,1290.7,72509.9,0.0
17.85,0.3029,1830.4,74902.15,0.0
30.86,0.0,1966.76,0.0,0.0
26.29,0.0,1791.22,0.0,0.0
